iter	Passed	Remaining
768	19389	5824
769	19412	5798
770	19436	5772
771	19460	5747
772	19484	5721
773	19507	5696
774	19532	5670
775	19555	5644
776	19580	5619
777	19605	5594
778	19629	5568
779	19654	5543
780	19677	5517
781	19701	5492
782	19725	5466
783	19748	5440
784	19771	5415
785	19793	5389
786	19818	5363
787	19842	5338
788	19868	5313
789	19892	5287
790	19917	5262
791	19942	5237
792	19966	5211
793	19990	5186
794	20014	5160
795	20037	5135
796	20062	5109
797	20086	5084
798	20110	5059
799	20137	5034
800	20159	5008
801	20183	4982
802	20207	4957
803	20231	4932
804	20257	4907
805	20281	4881
806	20305	4856
807	20329	4830
808	20352	4805
809	20375	4779
810	20400	4754
811	20426	4729
812	20451	4704
813	20476	4678
814	20499	4653
815	20524	4628
816	20548	4602
817	20571	4577
818	20595	4551
819	20620	4526
820	20644	4501
821	20669	4475
822	20693	4450
823	20720	4425
824	20745	4400
825	20770	4375
826	20793	4349
827	20818	4324
828	20844	4299
829	20869	4274
830	20894	4249
831	20918	4223
832	20943	4198
833	20969	4173
834	20993	4148
835	21017	4123
836	21042	4097
837	21065	4072
838	21089	4046
839	21112	4021
840	21137	3996
841	21161	3970
842	21184	3945
843	21207	3919
844	21232	3894
845	21257	3869
846	21282	3844
847	21305	3818
848	21330	3793
849	21353	3768
850	21379	3743
851	21402	3717
852	21427	3692
853	21451	3667
854	21476	3642
855	21501	3616
856	21524	3591
857	21548	3566
858	21571	3540
859	21596	3515
860	21620	3490
861	21647	3465
862	21674	3440
863	21706	3416
864	21740	3393
865	21784	3370
866	21815	3346
867	21839	3321
868	21864	3296
869	21892	3271
870	21918	3246
871	21944	3221
872	21972	3196
873	21998	3171
874	22023	3146
875	22047	3120
876	22075	3096
877	22099	3070
878	22124	3045
879	22151	3020
880	22177	2995
881	22206	2970
882	22233	2946
883	22262	2921
884	22288	2896
885	22314	2871
886	22342	2846
887	22372	2821
888	22401	2797
889	22428	2772
890	22456	2747
891	22486	2722
892	22514	2697
893	22542	2672
894	22569	2647
895	22596	2622
896	22624	2597
897	22654	2573
898	22681	2548
899	22707	2523
900	22735	2498
901	22762	2473
902	22788	2447
903	22819	2423
904	22845	2398
905	22870	2372
906	22896	2347
907	22921	2322
908	22947	2297
909	22972	2271
910	22996	2246
911	23020	2221
912	23043	2195
913	23069	2170
914	23093	2145
915	23119	2120
916	23144	2094
917	23168	2069
918	23193	2044
919	23216	2018
920	23240	1993
921	23263	1968
922	23289	1942
923	23315	1917
924	23339	1892
925	23362	1866
926	23389	1841
927	23415	1816
928	23441	1791
929	23465	1766
930	23490	1740
931	23514	1715
932	23539	1690
933	23564	1665
934	23589	1639
935	23614	1614
936	23638	1589
937	23662	1564
938	23686	1538
939	23709	1513
940	23733	1488
941	23759	1462
942	23782	1437
943	23808	1412
944	23832	1387
945	23858	1361
946	23882	1336
947	23907	1311
948	23933	1286
949	23958	1260
950	23981	1235
951	24005	1210
952	24029	1185
953	24054	1159
954	24079	1134
955	24102	1109
956	24127	1084
957	24151	1058
958	24175	1033
959	24199	1008
960	24224	983
961	24246	957
962	24269	932
963	24294	907
964	24317	881
965	24340	856
966	24364	831
967	24388	806
968	24412	781
969	24438	755
970	24465	730
971	24494	705
972	24519	680
973	24545	655
974	24572	630
975	24601	604
976	24628	579
977	24653	554
978	24680	529
979	24706	504
980	24731	478
981	24756	453
982	24781	428
983	24806	403
984	24832	378
985	24857	352
986	24883	327
987	24908	302
988	24933	277
989	24957	252
990	24982	226
991	25007	201
992	25032	176
993	25057	151
994	25082	126
995	25106	100
996	25130	75
997	25154	50
998	25180	25
999	25205	0
